49,NSO to PO,Selections,Electric,selections as per proposal dated 9/17/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1993212&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
50,NSO to PO,Selections,Hardwood,selections as per proposal dated 8/9/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1993218&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
51,NSO to PO,Selections,Lighting,selections as per proposal dated 10/20/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1993973&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
52,NSO to PO,Selections,Countertops,selections as per proposal dated 10/28/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1993976&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
53,Buyer Accepted,Selections,Structured Wiring,selections as per proposal dated 11/5/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1994544&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
54,Buyer Accepted,Master Bath,Master Bath,upgrade Master Shower Door handle/hardware to Champagne Gold
55,Buyer Accepted,Formal Powder Rm,First Floor Full Bath,upgrade standard Framed Shower Door to a Frameless Glass Door and Glass Panel with Champagne Gold Handle & Clips
56,NSO to PO,Selections,Electric,as per proposal dated 11/20/20 for Basement and Walk Thru,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1995765&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
57,Buyer Accepted,Basement,Basement,"frame only Theater Room, approx. 80 linear feet of wall"
58,NSO to PO,Selections,Closets,standard shelving throughout
59,Buyer Accepted,Selections,Mirrors,supply and install standard mirrors in all baths
60,NSO to PO,Selections,Tile,selections as per proposal dated 12/3/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1996299&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
61,NSO to PO,Selections,Carpet for Basement,selections as per proposal dated 12/8/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1997032&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
62,NSO to PO,Selections,Electric,PreDrywall Basement electrical additions as per proposal dated 12/22/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1997629&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
63,NSO to PO,Selections,Paint,custom paint as per proposal dated 12/23/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1997890&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
64,Buyer Accepted,Selections,Appliances,selections asper proposal dated 9/24/20,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1998596&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
65,Buyer Accepted,Dining Rm,Butlers Pantry,supply & install Mirror Backsplash as per drawing dated 1/15/21,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1998781&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
66,Buyer Accepted,Selections,Appliances,Washer & Dryer as per proposal dated 1/14/21,/english_exec/docmgmt-common?op=entity_list_show&nso_id=1999101&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
67,NSO to PO,Selections,LVT,selections as per proposal dated 1/2/21,/english_exec/docmgmt-common?op=entity_list_show&nso_id=2000119&map_id=122&clear_session=true&entry_s=nso-lot&entry_o=lot_nso_list_show&entry_p=lot_id=370527*section=1142428
68,Buyer Accepted,Kitchen,Custom Kitchen Hood,Hood to be designed on site. Framed and Drywalled with Level 5 Finish. Paint to be high gloss to match cabinets. Builder and Buyer to meet on site to confirm design.
69,Buyer Accepted,Kitchen,Kitchen,Supply and Install Reclaimed White Oak Shelves on either side of custom kitchen hood with buyer supplied hardware.
70,Buyer Accepted,Kitchen,Butlers Pantry,Supply and Install (1) White Oak Reclaimed Shelf
71,Buyer Accepted,Selections,Countertops,delete Quartz Backsplash as per MacLaren proposal dated 10/28/20
